lineage_ID,level,cycle_ID,cells,cycle_length
-9510,0,9510,[9510],1
-3,0,3,[3],1
0,0,8993,[8993],1
0,1,9019,"[9013, 8989, 8996, 9001, 9010, 9019]",6
0,1,9020,"[9014, 8986, 8988, 8999, 9008, 9020]",6
0,2,9051,"[9121, 9040, 9027, 9062, 9051]",5
0,2,9052,"[9124, 9042, 9029, 9064, 9052]",5
0,2,9106,"[9123, 9041, 9028, 9065, 9053, 9106]",6
0,2,9108,"[9126, 9043, 9031, 9067, 9055, 9108]",6
0,3,9156,"[9096, 9084, 9122, 9156]",4
0,3,9194,"[9104, 9082, 9120, 9170, 9258, 9194]",6
0,3,9195,"[9102, 9090, 9136, 9167, 9274, 9195]",6
0,3,9206,"[9081, 9119, 9168, 9255, 9206]",5
0,3,9230,"[9103, 9091, 9138, 9169, 9277, 9196, 9230]",7
0,3,9382,"[9095, 9143, 9159, 9262, 9181, 9240, 9286, 9326, 9424, 9382]",10
0,3,9384,"[9080, 9118, 9155, 9252, 9176, 9215, 9328, 9330, 9428, 9384]",10
0,3,9395,"[9086, 9127, 9160, 9263, 9182, 9250, 9279, 9343, 9450, 9395]",10
0,4,9356,"[9229, 9310, 9356]",3
0,4,9390,"[9299, 9339, 9441, 9390]",4
0,4,9438,"[9235, 9292, 9344, 9438]",4
0,4,9446,"[9312, 9358, 9485, 9446]",4
0,4,9463,"[9227, 9308, 9355, 9491, 9463]",5
0,4,9464,"[9271, 9191, 9222, 9306, 9351, 9464]",6
0,4,9470,"[9218, 9294, 9335, 9481, 9470]",5
0,4,9483,"[9228, 9309, 9357, 9483]",4
0,4,9492,"[9259, 9178, 9216, 9290, 9332, 9492]",6
0,4,9498,"[9223, 9293, 9334, 9498]",4
0,5,9375,[9375],1
0,5,9389,[9389],1
0,5,9398,[9398],1
0,5,9402,[9402],1
0,5,9416,[9416],1
0,5,9440,"[9482, 9440]",2
0,5,9444,"[9494, 9444]",2
0,5,9448,[9448],1
0,5,9449,[9449],1
0,5,9465,[9465],1
0,5,9476,[9476],1
0,5,9480,[9480],1
1,0,8992,"[8985, 9015, 8992]",3
1,1,9022,"[8997, 9002, 9009, 9022]",4
1,1,9045,"[8991, 9000, 9011, 9021, 9130, 9045]",6
1,2,9057,"[9132, 9046, 9034, 9069, 9057]",5
1,2,9098,"[9033, 9070, 9058, 9110, 9098]",5
1,2,9105,"[9030, 9066, 9054, 9105]",4
1,2,9109,"[9128, 9044, 9032, 9068, 9056, 9109]",6
1,3,9157,"[9094, 9141, 9157]",3
1,3,9158,"[9097, 9085, 9125, 9158]",4
1,3,9165,"[9154, 9165]",2
1,3,9183,"[9107, 9087, 9129, 9161, 9264, 9183]",6
1,3,9249,"[9079, 9117, 9153, 9249]",4
1,3,9267,"[9100, 9150, 9164, 9267]",4
1,3,9269,"[9152, 9166, 9269]",3
1,3,9314,"[9092, 9139, 9171, 9278, 9197, 9231, 9314]",7
1,4,9202,[9202],1
1,4,9291,"[9260, 9179, 9217, 9291]",4
1,4,9304,"[9280, 9189, 9257, 9304]",4
1,4,9316,"[9273, 9198, 9232, 9316]",4
1,4,9331,"[9253, 9177, 9237, 9288, 9331]",5
1,4,9348,"[9186, 9251, 9301, 9348]",4
1,4,9359,[9359],1
1,4,9367,"[9204, 9236, 9311, 9367]",4
1,4,9383,"[9261, 9180, 9239, 9295, 9383]",5
1,4,9422,"[9370, 9504, 9422]",3
1,4,9423,"[9242, 9287, 9372, 9505, 9423]",5
1,4,9425,"[9209, 9247, 9296, 9381, 9506, 9425]",6
1,4,9426,"[9192, 9254, 9307, 9376, 9507, 9426]",6
1,4,9433,"[9205, 9238, 9285, 9323, 9433]",5
1,4,9459,"[9270, 9188, 9256, 9303, 9347, 9456, 9459]",7
1,4,9501,"[9241, 9298, 9346, 9501]",4
1,5,1000,"[9503, 1000]",2
1,5,9276,"[9245, 9276]",2
1,5,9386,"[9430, 9386]",2
1,5,9387,"[9333, 9435, 9387]",3
1,5,9391,"[9443, 9391]",2
1,5,9396,"[9453, 9396]",2
1,5,9399,"[9352, 9473, 9399]",3
1,5,9400,"[9353, 9477, 9400]",3
1,5,9401,"[9349, 9479, 9401]",3
1,5,9403,[9403],1
1,5,9404,"[9361, 9486, 9404]",3
1,5,9411,"[9490, 9411]",2
1,5,9442,"[9489, 9442]",2
1,5,9447,"[9248, 9300, 9337, 9447]",4
1,5,9452,"[9496, 9452]",2
1,5,9454,"[9499, 9454]",2
1,5,9458,"[9360, 9487, 9458]",3
1,5,9466,"[9497, 9466]",2
1,5,9468,"[9484, 9468]",2
1,5,9472,[9472],1
1,5,9474,[9474],1
1,5,9478,[9478],1
1,6,9393,[9393],1
1,6,9421,"[9369, 9502, 9421]",3
1,6,9427,"[9341, 9508, 9427]",3
1,6,9455,[9455],1
2,0,8990,[8990],1
2,1,8998,"[9017, 8995, 8998]",3
2,1,9012,"[9016, 8994, 8987, 9004, 9012]",5
2,2,9036,"[9003, 9006, 9018, 9135, 9047, 9036]",6
2,2,9060,"[9023, 9133, 9038, 9035, 9073, 9060]",6
2,2,9063,"[9005, 9007, 9024, 9137, 9039, 9037, 9061, 9063]",8
2,2,9289,"[9025, 9140, 9048, 9026, 9074, 9050, 9113, 9078, 9116, 9151, 9289]",11
2,3,9142,"[9083, 9075, 9147, 9142]",4
2,3,9145,"[9071, 9049, 9111, 9099, 9145]",5
2,3,9148,"[9093, 9077, 9115, 9148]",4
2,3,9184,"[9101, 9088, 9131, 9162, 9265, 9184]",6
2,3,9266,"[9114, 9089, 9134, 9163, 9266]",5
2,3,9284,"[9072, 9059, 9112, 9076, 9149, 9146, 9284]",7
2,3,9297,"[9185, 9219, 9297]",3
2,3,9363,"[9203, 9225, 9322, 9363]",4
2,4,9318,"[9172, 9243, 9173, 9208, 9318]",5
2,4,9324,"[9144, 9282, 9199, 9233, 9324]",5
2,4,9325,"[9200, 9234, 9325]",3
2,4,9336,"[9193, 9224, 9327, 9336]",4
2,4,9345,"[9268, 9187, 9220, 9302, 9345]",5
2,4,9364,"[9210, 9212, 9320, 9364]",4
2,4,9388,"[9340, 9475, 9388]",3
2,4,9397,"[9272, 9190, 9221, 9305, 9350, 9460, 9397]",7
2,4,9405,"[9469, 9405]",2
2,4,9408,"[9354, 9488, 9408]",3
2,4,9413,"[9226, 9329, 9366, 9413]",4
2,4,9419,"[9201, 9207, 9275, 9368, 9500, 9419]",6
2,4,9420,"[9214, 9283, 9319, 9420]",4
2,4,9437,"[9509, 9437]",2
2,4,9467,"[9244, 9174, 9211, 9321, 9313, 9467]",6
2,4,9471,"[9246, 9175, 9213, 9281, 9365, 9471]",6
2,5,9371,"[9409, 9371]",2
2,5,9373,"[9338, 9410, 9373]",3
2,5,9374,[9374],1
2,5,9377,"[9315, 9415, 9377]",3
2,5,9379,"[9342, 9417, 9379]",3
2,5,9380,"[9317, 9418, 9380]",3
2,5,9385,[9385],1
2,5,9392,"[9445, 9392]",2
2,5,9394,"[9451, 9394]",2
2,5,9406,"[9462, 9406]",2
2,5,9407,"[9362, 9457, 9407]",3
2,5,9412,"[9493, 9412]",2
2,5,9414,"[9495, 9414]",2
2,5,9429,[9429],1
2,5,9431,[9431],1
2,5,9432,[9432],1
2,5,9434,"[9378, 9510, 9434]",3
2,5,9436,[9436],1
2,5,9439,[9439],1
2,5,9461,[9461],1
